welcome_ymzz_makabaka,BV700_streaming,你好啊
测试1111,BV113_streaming,你好，尊敬的客人
hc,BV700_streaming,电量过低，需要回充
ryr,BV700_streaming,你好，请让一让
欢迎语,BV019_streaming,欢迎光临
测试111,BV007_streaming,玛卡巴卡
太仓景点,BV007_streaming,太仓作为江南文化名城，拥有众多融合历史人文与自然风光的特色景点，其中沙溪古镇、阿尔卑斯雪世界、南园、浏河古镇和金仓湖湿地公园是必游去处‌。‌‌‌‌
测试音频,BV007_streaming,测试音频，测试
测试音频1,BV019_streaming,测试音频
测试音频2,BV033_streaming,测试音频
测试音频3,BV034_streaming,测试音频
测试音频4,BV115_streaming,测试音频
测试音频5,BV119_streaming,测试音频
测试音频6,BV102_streaming,测试音频
测试音频7,BV701_streaming,测试音频
测试音频8,BV113_streaming,测试音频
测试音频9,BV021_streaming,测试音频
测试音频10,BV051_streaming,测试音频
测试音频11,BV158_streaming,测试音频
测试音频12,BV700_streaming,测试音频
测试音频13,BV056_streaming,测试音频
测试音频14,BV007_streaming,测试音频
文本语音合成测试,BV700_streaming,文本语音合成测试
测试,BV007_streaming,测试测试
测试1,BV007_streaming,大苏打大大大大大大
测试2,BV019_streaming,反反复复说
山中问答音频,BV019_streaming,反反复复说
将进酒音频,BV019_streaming,反反复复说
